2019-04-25 14:34:48,793 [main] INFO  c.e.b.e.user.EgbootUserApplication 50 - Starting EgbootUserApplication on DESKTOP-6KL1BNP with PID 5792 (I:\IdeaProjects\springboot-everythinggrows\egboot-user\target\classes started by MA in I:\IdeaProjects\springboot-everythinggrows\egboot-user)
2019-04-25 14:34:48,809 [main] INFO  c.e.b.e.user.EgbootUserApplication 675 - No active profile set, falling back to default profiles: default
2019-04-25 14:35:01,989 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[cn.everythinggrows.boot.egboot.user]' package. Please check your configuration.
2019-04-25 14:35:02,657 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-25 14:35:02,658 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-25 14:35:02,962 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 235ms. Found 0 repository interfaces.
2019-04-25 14:35:03,415 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-25 14:35:03,448 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-25 14:35:03,722 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 11ms. Found 0 repository interfaces.
2019-04-25 14:35:05,265 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6626269f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-25 14:35:07,684 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8083 (http)
2019-04-25 14:35:07,746 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8083"]
